Rank,Curated Title,Date,Impressions,Likes,Engagements,Bookmarks,Shares,Replies,Reposts,Profile Visits,Detail Expands,URL Clicks,Post URL,Post ID,Post Text
11,Hackathon for Women — Coming Soon announcement,2026-02-15,4681,22,92,6,0,1,10,22,36,0,https://x.com/WWCKorea/status/2023027779378548978,2023027779378548978,"💡 국제 여성의 날 기념 Hackathon for Women 개최! Coming Soon! 3월 7일, 특별한 해커톤이 여러분을 찾아옵니다. 대한민국 대표 여성 IT인 커뮤니티 위민후코드코리아가 @Lovable과 함께, 국제 여성의 날을 맞아 여성의 삶과 밀접한 사회 문제를 기술로 해결하는 [Hackathon for Women]을"
12,She Run The World — recap,2025-05-31,3929,55,619,2,1,0,17,77,43,0,https://x.com/WWCKorea/status/1928815491499413881,1928815491499413881,"👑She, Run the World✨ 오늘 오신 많은 여성분들이 리더의 자리에 오르는 그날까지! 위민후코드 코리아도 더 알찬 행사로 함께하겠습니다🔥🔥 https://t.co/k9wqHjoufS"
13,WiBla Podcast Ep.01 — community podcast launch,2025-06-05,3918,24,133,2,1,0,15,23,21,33,https://x.com/WWCKorea/status/1930476388769009682,1930476388769009682,"🎙 위블라 Ep.01 공개! 위민후코드 코리아의 첫 팟캐스트 위블라(위민후 블라블라)가 시작됐습니다! 🧩 운영진은 어떻게 커뮤니티에 들어왔을까? 🍩 개발자 행사에서 스몰톡은 어떻게 할까? 비하인드 가득한 첫 에피소드, 지금 들어보세요! 🔗https://t.co/JgASQAadHV https://t.co/leBnnSMuqh"
14,Vibe Coding Contest D-4 — GitHub Klaire Baek keynote,2025-06-24,3637,33,446,13,0,1,21,24,22,58,https://x.com/WWCKorea/status/1937458062115373271,1937458062115373271,"🔥D-4🔥 국내 최초 AI 입코딩 대회가 온다 코딩을 “말로” 한다고? 🎤💻 엑박, 닌텐도 스위치도 걸린 찐 대회🎁 📍광화문 MS 🗓️ 6/28(토) 12~18시 🎙️GitHub Klaire Baek 키노트까지 👉 https://t.co/6eZOYEFfO1 https://t.co/lj2Pd3jfDt"
15,UK Overseas AMA — recap visual,2025-04-11,3487,8,251,1,2,3,1,41,197,1,https://x.com/WWCKorea/status/1910646626143920231,1910646626143920231,https://t.co/C2pc9LocRN
16,1H Retrospective — final call,2025-07-22,3257,19,62,8,0,1,19,9,2,0,https://x.com/WWCKorea/status/1947617365673578634,1947617365673578634,"상반기 회고 언제하지? 🤔 고민하고 있는 분들을 위해 준비했습니다! 🫡 IT 업계 여성이라면 누구나! 상반기 경험을 돌아보고, 하반기 목표를 세워보며 커뮤니티 에너지를 채워요!💪 선착순 30명 모집 중! (모집 마감이 다가오고 있으니, 빠르게 신청하세요!) 더보기.. https://t.co/6S5b0ViJNV"
17,NEW HOPPER 2026 — additional registration,2026-01-26,3224,5,68,1,0,0,6,16,41,0,https://x.com/WWCKorea/status/2015688145715843131,2015688145715843131,📢추가 모집 안내 신청을 놓쳐 아쉬웠던 분들을 위해 선착순 모집을 진행합니다! 많은 관심주셔서 감사드리고 이번주에 만나요🔥 ✨추가 모집인원 : 5명 (신청은 아래 포스팅을 통해 확인부탁드립니다🙂)
18,NEW HOPPER 2026 — early sold-out,2026-01-13,2938,6,41,0,0,0,4,21,10,0,https://x.com/WWCKorea/status/2011064451005583749,2011064451005583749,"[NEW Hopper 2026 with AI] 조기 마감 안내 여러분의 뜨거운 성원으로 신청이 빠르게 조기 마감되었습니다! 본 행사는 선착순 진행으로, 취소 인원 발생 시 재공지 예정입니다😉 신청 완료된 분들께는 현재 순차적으로 안내 메일을 드리고 있습니다. 조금만 기다려 주세요!"
19,NEW HOPPER 2026 — D-3,2026-01-28,2778,11,284,2,0,0,7,22,20,0,https://x.com/WWCKorea/status/2016419236189766067,2016419236189766067,"[D-3] NEW HOPPER 2026 WITH AI 단순한 기술 습득을 넘어 각자의 궤적을 만들어가는 우리, 1월 31일 현장에서 반갑게 만나요! 🌊 📍일자: 2026년 1월 31일(토) 📍장소: 월드 스페이스 서울 (종로구 삼일대로 28길 28 1층) https://t.co/GGaVhUsbPQ"
20,"SheBuilds Builderton — recap (15 projects, 9 showcased)",2026-03-16,2676,27,119,8,0,1,22,19,38,0,https://x.com/WWCKorea/status/2033479987479949365,2033479987479949365,"🌸 SheBuilds on Lovable — 놀라운 작품들을 소개합니다! 벌써 한 주가 지났습니다. 지난 세계 여성의 날, 위민후코드코리아는 @Lovable, 성평등가족부, 시민기술네트워크와 함께 #SheBuildsIWD2026 빌더톤을 개최했습니다. 세계 여성의 날을 맞아 여성 개발자들이 25불 크레딧만으로 놀라운 앱을 https://t.co/UoZXvLgRRF"
21,Vibe Coding Contest — supporter recruitment,2025-05-27,2543,18,91,4,0,3,11,11,33,0,https://x.com/WWCKorea/status/1927155443765330310,1927155443765330310,"🔥입코딩 대회 대학생 서포터즈 모집!🔥 ""말로 코딩한다구요?"" 🎉 GitHub Copilot과 함께하는 새로운 코딩 문화, 입코딩 대회! 키보드 없이, AI를 활용한 ‘말’로 코딩하는 특별한 경험을 함께 만들어갈 대학생 서포터즈를 모집합니다! #microsoft #바이브코딩 #서포터즈 #CodeWithoutBarriers https://t.co/xCciZCl9wx"
22,"She Run The World — speaker (Kim Tae-hee, dev leadership)",2025-05-10,2408,16,88,4,0,1,12,17,10,0,https://x.com/WWCKorea/status/1921187423062503771,1921187423062503771,"[김태희님 - 8년 차 개발자의 리더십 개발기] 코드를 짜던 개발자에서 팀을 이끄는 리더로..! 예상치 못한 리더 역할을 맡으며 겪었던 당황스러움, 버그보다 예측하기 어려운 팀원과의 소통, 안정된 회사를 떠나 새로운 길을 선택한 이야기까지 #테크리더십 #여성개발자 #버그보다_어려운_사람관리 https://t.co/LrMldxjbbx"
23,"NEW HOPPER 2026 — recap (10 speakers, full house)",2026-02-02,2397,14,254,2,0,0,8,21,20,0,https://x.com/WWCKorea/status/2018258713128382754,2018258713128382754,"🎤 NEW HOPPER 2026 WITH AI 성료 지난 1월 31일, AI시대를 항해하는 다양한 직군의 IT여성들과 인사이트를 공유하는 시간을 가졌습니다. 열정적인 세션을 들려주신 10인의 연사님과 추운 날씨에도 현장을 가득 채워주신 참가자분들 감사합니다! 다양한 만남을 계획하고 있으니 다음에 다시 만나요! https://t.co/j1zPYLxIyC"
24,UK Overseas AMA — D-1,2025-04-09,2285,23,78,4,0,0,13,14,28,0,https://x.com/WWCKorea/status/1910118221958791529,1910118221958791529,"🔊 영국 해외취업 AMA 세션 D-1 | RSVP 🇬🇧 드디어 내일, 영국 해외취업 AMA 세션이 열립니다! 평소 궁금했던 것들, 지금 댓글이나 인용으로 남겨주세요. 내일 세션에서 직접 답변드릴게요. 그럼 내일, AMA에서 만나요!"
25,Microsoft Agent Framework Lock-in — workshop announcement,2026-03-23,1837,14,81,6,1,0,4,29,32,0,https://x.com/WWCKorea/status/2036044546061340926,2036044546061340926,⚠️멀티에이전트 방탈출 챌린지⚠️ 2026년 4월 17일. 당.신.은. 멀티에이전트 시스템을 완성할 때까지 방에서 못 나갑니다. (진짜예요😱) Microsoft Agent Framework을 사용해 하루 종일 진짜 Multi-Agent 시스템을 만들어보는 Lock-in 워크숍을 개최합니다! 마이크로소프트의 수석
26,NEW HOPPER 2026 — 65 sign-ups update,2026-01-11,1797,7,145,1,1,1,4,24,27,0,https://x.com/WWCKorea/status/2010234648455151963,2010234648455151963,"여러분의 뜨거운 관심 덕분에 신청 인원이 벌써 65명을 돌파했습니다! 지금까지 공개된 강력한 라인업과 인사이트를 살짝 살펴볼까요? 🧭✨ 현업 끝판왕들의 생생한 노하우는 물론, 우리를 한 단계 더 도약시켜 줄 다음 연사자 라인업도 곧 공개될 예정이니 기대해 주세요! 🎤✨ https://t.co/0vC7VsrC4D"
27,"NEW HOPPER 2026 — speaker lineup (Kang Seul-gi, Lee Soo-jung)",2026-01-18,1556,6,91,0,0,0,4,21,16,0,https://x.com/WWCKorea/status/2012773678555992413,2012773678555992413,"NEW HOPPER 2026 WITH AI 라인업 추가 공개! 🌊 📍강슬기님 (데이터분석가/퇴근후AI): 1.3만 데이터 분석가 &amp; 태블로 앰버서더의 '자기답게' 성과 내는 법 📍이수정님 (실비아헬스 리서치 리드): 간호, AI 연구자, 헬스케어 리서치 리드! 경계를 허무는 커리어 확장 https://t.co/ejEPciA9mk"
